miesiac,rok,wilgotnosc,temp_pow,temp_rosy,opad,pred_wiatru,cisnienie,SOR,Kardiologia/Kardiochirurgia,Neurologia,Chirurgia,Gastrologia,Nefrologia
10,2007,61.8342465753425,8.19054794520548,2.24109589041096,625,1.40643835616438,986.128082191781,1431,180,140,113,100,152
10,2008,59.4375963020031,10.3055469953775,3.01771956856703,1296,0,982.274268104777,1581,178,134,118,108,134
11,2005,80.4332493702771,2.38984047019312,1.38287153652393,427,1.38035264483627,982.314861460957,,,,,,
11,2006,74.8803571428572,5.671875,2.47946428571429,168,0.280625,980.866964285714,1471,168,104,100,96,150
11,2007,70.1045694200351,0.526625659050963,0.27768014059754,657,1.85949033391915,978.333919156415,1407,169,119,122,98,123
11,2008,67.7078853046595,5.02822580645162,1.99910394265233,1334,0,980.864695340502,1523,178,116,110,81,96
12,2004,77.8571428571429,1.01428571428571,0.285714285714286,0,2.54285714285714,978.285714285714,,,,,,
12,2005,86.8486486486486,-0.528416988416988,0.462548262548263,465,1.64864864864865,978.876447876448,,,,,,
12,2006,70.7301293900185,3.49879852125693,0.463955637707948,12,0,987.338262476895,1684,138,99,105,75,155
12,2007,70.1849148418491,-0.901459854014597,0.160583941605839,663,1.87185725871857,985.159772911598,1578,162,113,91,97,139
12,2008,72.0199652777778,0.705989583333328,0.359375,1361,0,981.890625,1560,188,132,113,102,121
